"0","31","780","2003-05-13 18:42:09"
"1","97","918","2016-03-19 09:01:20"
"2","9","97","1977-05-09 15:24:21"
"3","15","1337","1990-01-30 08:39:52"
"4","84","1744","2004-08-19 17:25:20"
"5","27","934","2001-03-25 03:39:51"
"6","161","1303","2006-10-24 09:07:21"
"7","126","1368","2017-06-06 12:01:32"
"8","117","1048","1983-09-10 12:18:02"
"9","91","598","1984-04-18 15:20:16"
"10","34","646","2005-05-28 11:07:05"
"11","186","1267","2021-02-17 21:10:51"
"12","154","1716","2007-09-03 05:10:17"
"13","43","247","1997-11-30 22:45:34"
"14","197","678","2000-01-14 09:06:34"
"15","75","1545","1970-08-23 07:14:03"
"16","51","878","1971-07-31 20:47:58"
"17","6","828","2004-04-05 16:29:01"
"18","51","1534","1976-09-06 03:54:29"
"19","122","1695","2019-02-10 21:04:42"
"20","198","607","2001-11-29 10:39:10"
"21","92","141","1994-05-17 12:57:56"
"22","27","367","2009-05-18 02:42:43"
"23","119","1018","2003-01-26 21:59:56"
"24","179","506","2010-08-29 07:39:06"
"25","28","862","1986-04-21 11:46:28"
"26","139","1222","2024-04-29 12:07:42"
"27","77","1405","2014-03-26 02:46:53"
"28","149","170","1999-02-18 23:48:37"
"29","55","146","1995-08-13 02:09:19"
"30","75","257","2002-03-29 08:25:52"
"31","140","1350","2010-07-04 13:38:46"
"32","180","685","1977-01-10 22:49:45"
"33","28","903","1970-03-23 04:26:10"
"34","116","703","2013-04-05 10:10:08"
"35","128","682","2000-05-11 13:19:10"
"36","45","1929","2003-01-11 13:10:37"
"37","85","310","1995-10-15 08:52:55"
"38","147","601","1991-10-29 14:55:53"
"39","113","1038","2011-11-29 01:08:25"
"40","129","968","1979-10-05 10:33:36"
"41","182","218","1973-05-14 00:13:14"
"42","1","1242","2014-08-17 20:38:12"
"43","1","145","2013-03-24 08:20:55"
"44","5","1537","1973-04-22 03:52:21"
"45","22","1516","2004-05-09 15:33:33"
"46","128","218","1999-11-08 08:03:29"
"47","175","747","2021-09-09 13:29:43"
"48","137","1563","1993-12-29 02:54:54"
"49","26","1707","2009-03-15 04:05:19"
"50","2","257","1982-07-01 21:56:07"
"51","175","1541","2021-09-13 17:59:20"
"52","125","858","1981-10-29 20:32:02"
"53","127","721","1999-08-05 10:31:31"
"54","156","314","1990-04-17 17:58:36"
"55","4","1500","2014-01-14 17:09:05"
"56","58","202","2022-07-22 13:21:13"
"57","146","108","1970-02-01 19:37:19"
"58","140","735","1998-12-11 03:24:20"
"59","60","1635","1975-06-05 12:06:50"
"60","199","983","2014-01-20 06:33:29"
"61","115","1708","2004-09-09 19:31:24"
"62","175","1058","1983-11-03 22:55:04"
"63","91","1222","2000-06-29 11:29:46"
"64","26","1795","2019-10-16 23:34:49"
"65","4","1305","1970-09-17 11:58:59"
"66","139","989","2011-05-20 19:35:37"
"67","150","1272","1997-09-23 09:26:34"
"68","145","1626","2005-06-17 11:00:39"
"69","159","1882","1982-06-06 06:26:37"
"70","31","28","2021-03-11 01:17:35"
"71","195","744","2006-11-11 07:09:22"
"72","196","1439","1997-02-08 00:51:27"
"73","127","1728","1971-02-10 12:11:19"
"74","126","1659","2013-11-16 14:01:46"
"75","37","1129","2021-06-13 18:52:56"
"76","159","824","2007-03-15 02:33:30"
"77","131","587","1981-02-19 20:53:45"
"78","83","1266","2009-09-17 20:01:45"
"79","171","1404","1989-11-17 08:44:06"
"80","38","726","2006-03-17 13:10:20"
"81","190","1744","1975-03-10 18:09:37"
"82","164","1472","2006-07-25 12:58:32"
"83","8","243","2022-04-02 05:24:45"
"84","199","1603","1976-07-12 07:33:07"
"85","52","319","1990-03-10 09:35:53"
"86","107","1904","1976-10-29 06:29:55"
"87","45","1574","1999-02-12 22:56:12"
"88","86","1780","1985-11-12 06:02:14"
"89","157","1842","1976-06-19 23:06:30"
"90","63","1639","2010-12-11 20:08:26"
"91","89","434","2015-02-23 04:38:36"
"92","179","1187","1975-07-03 05:47:27"
"93","59","1820","1984-03-29 14:00:08"
"94","131","12","1992-08-15 04:45:23"
"95","22","1744","1998-06-29 00:06:28"
"96","71","410","2010-12-04 12:31:25"
"97","102","1926","2019-02-15 19:31:48"
"98","91","665","2019-12-31 05:18:59"
"99","164","1349","2006-04-28 08:47:11"
"100","19","1709","1992-01-22 10:42:14"
"101","114","682","2023-07-29 07:18:06"
"102","0","993","1997-03-15 04:42:19"
"103","109","1945","1984-05-11 21:16:13"
"104","46","653","2005-08-28 17:43:54"
"105","108","1866","2006-12-27 13:18:54"
"106","114","1673","1998-04-24 15:09:41"
"107","154","631","1994-08-01 12:07:27"
"108","36","581","2019-02-09 19:34:08"
"109","51","1738","1975-09-26 23:50:55"
"110","1","894","2020-06-11 00:09:48"
"111","104","149","2001-01-14 16:22:56"
"112","77","1438","2019-10-31 01:58:43"
"113","182","295","1970-10-09 04:18:38"
"114","172","1397","2001-11-11 09:20:30"
"115","146","520","1974-04-06 11:09:06"
"116","22","1012","2023-02-25 02:16:09"
"117","192","908","2008-05-03 06:04:37"
"118","83","621","1972-08-12 09:11:08"
"119","153","1708","1974-02-07 09:59:00"
"120","89","822","1978-08-24 09:59:36"
"121","14","468","1999-04-29 23:21:18"
"122","119","466","2022-05-31 03:00:19"
"123","88","1594","2017-05-17 11:54:31"
"124","40","77","1990-12-11 03:19:09"
"125","32","75","2009-05-25 23:28:01"
"126","44","981","1974-03-11 14:17:17"
"127","130","1482","1979-03-27 16:12:58"
"128","24","1371","1979-02-16 07:10:02"
"129","91","1476","1984-07-27 23:46:03"
"130","36","536","1971-12-28 08:16:35"
"131","158","1007","1988-05-25 01:52:45"
"132","11","233","1996-11-28 08:52:33"
"133","12","609","1983-03-11 03:06:56"
"134","14","874","2021-11-07 09:05:31"
"135","8","117","1992-01-19 01:55:54"
"136","61","391","2005-01-17 02:02:50"
"137","141","653","1999-02-06 12:18:56"
"138","58","1142","1993-04-18 15:39:54"
"139","37","1639","1992-08-22 08:24:49"
"140","50","1178","1988-06-30 13:31:53"
"141","166","1049","1990-10-15 17:43:37"
"142","78","872","2015-01-19 15:34:26"
"143","94","1508","2015-07-20 14:29:54"
"144","11","827","2001-02-17 23:09:21"
"145","102","381","1972-10-19 13:42:58"
"146","183","1739","1971-10-25 08:51:59"
"147","65","1472","2013-10-09 04:04:30"
"148","108","295","2005-10-30 12:23:42"
"149","101","1603","2024-03-05 16:21:31"
"150","26","868","1997-01-04 00:25:32"
"151","91","1115","1976-04-13 12:42:16"
"152","141","45","2024-01-24 21:40:37"
"153","158","759","1995-05-20 08:16:46"
"154","147","5","1984-12-12 01:39:23"
"155","20","1825","1994-09-21 15:48:56"
"156","82","1371","2003-07-26 08:05:52"
"157","112","1260","1993-12-04 11:22:30"
"158","193","1577","2014-12-23 08:12:26"
"159","140","1393","1996-12-06 16:14:32"
"160","172","1278","1977-05-22 06:55:46"
"161","174","1817","1977-05-31 21:26:46"
"162","79","1523","1995-02-10 01:07:40"
"163","136","607","1984-01-25 18:55:11"
"164","100","168","2023-03-22 14:22:12"
"165","147","1444","2011-05-25 17:52:39"
"166","92","1259","1996-10-19 18:35:58"
"167","121","382","1975-11-28 12:22:23"
"168","64","1517","1987-04-11 17:35:34"
"169","163","1610","1984-02-24 08:53:22"
"170","81","265","1978-08-10 16:01:21"
"171","175","876","1990-07-25 05:37:57"
"172","169","1310","1973-06-22 10:41:48"
"173","136","792","2022-02-28 06:57:13"
"174","74","1241","1997-04-10 23:09:17"
"175","49","182","2018-08-19 05:36:40"
"176","167","1268","1979-04-13 02:32:38"
"177","126","934","2019-06-14 22:16:03"
"178","182","108","2024-02-12 13:36:20"
"179","39","308","2003-10-09 04:49:01"
"180","110","1160","2008-10-26 16:25:39"
"181","174","247","2009-08-15 00:27:28"
"182","103","571","2008-02-01 22:46:44"
"183","16","562","2012-08-28 03:01:20"
"184","6","1587","2013-09-13 02:38:02"
"185","80","1367","1978-01-10 00:10:08"
"186","111","100","1998-12-23 17:00:48"
"187","135","1233","1974-02-28 22:34:54"
"188","78","1159","2022-11-27 02:18:46"
"189","81","1548","2009-03-08 23:44:39"
"190","2","439","1981-06-18 16:47:02"
"191","195","1884","1977-03-01 05:47:52"
"192","163","1036","2002-06-24 22:00:04"
"193","75","304","2022-01-02 01:39:05"
"194","187","346","2002-09-28 23:12:13"
"195","146","1201","2003-08-09 06:42:42"
"196","132","781","2017-12-22 01:45:00"
"197","179","703","1998-03-02 12:40:54"
"198","23","153","2023-08-31 17:50:58"
"199","185","872","2018-05-09 07:42:52"
"200","16","1688","2012-01-28 09:22:52"
"201","56","1809","1998-07-19 17:13:39"
"202","115","447","1990-10-15 14:49:37"
"203","153","1459","1991-09-18 06:29:17"
"204","76","145","2020-01-16 13:47:42"
"205","107","1840","2011-08-24 02:32:10"
"206","31","979","2023-07-05 04:04:02"
"207","110","774","1997-05-19 21:32:43"
"208","25","1492","2004-07-20 10:04:15"
"209","171","167","1999-04-05 23:55:10"
"210","77","1818","2017-05-15 17:09:17"
"211","198","716","2022-02-26 14:59:10"
"212","20","1074","1979-03-08 11:32:24"
"213","66","1946","2018-10-03 06:39:48"
"214","34","463","2018-08-18 06:58:57"
"215","12","606","2021-02-10 00:10:38"
"216","122","1119","1978-10-07 18:29:49"
"217","177","657","1971-05-10 09:11:21"
"218","133","1806","1985-02-26 20:31:29"
"219","137","1275","1993-02-20 03:23:46"
"220","51","348","2020-12-21 01:12:52"
"221","133","322","2007-10-03 16:04:19"
"222","154","812","1976-12-10 08:02:10"
"223","103","682","1982-05-07 18:15:50"
"224","35","1643","2021-01-17 21:53:39"
"225","117","1298","2021-10-31 18:43:00"
"226","126","724","1986-10-04 17:34:35"
"227","108","1226","1978-12-28 01:10:00"
"228","150","1946","1991-06-26 14:38:09"
"229","121","456","2001-09-22 04:18:24"
"230","7","759","2020-12-27 06:36:30"
"231","182","991","1983-01-20 12:50:38"
"232","54","362","1972-02-27 22:56:29"
"233","169","1820","2013-03-19 05:45:19"
"234","126","1545","1993-07-08 06:24:14"
"235","151","1643","1977-12-17 04:37:11"
"236","46","678","1987-06-07 22:33:30"
"237","2","153","2019-10-19 01:19:13"
"238","196","1088","2021-05-09 22:55:40"
"239","177","0","1998-05-10 20:33:48"
"240","84","320","2023-01-20 04:41:40"
"241","134","239","2016-12-10 14:33:22"
"242","41","1346","2003-05-16 15:18:01"
"243","71","1171","1992-05-23 12:28:00"
