"5","34","1143","1979-04-12 05:32:27","3"
"6","67","827","1970-12-25 05:37:46","6"
"7","123","307","2007-03-05 16:27:50","1"
"8","132","650","1987-12-19 10:46:24","7"
"9","17","1227","2024-02-04 21:24:55","1"
"10","103","139","2006-07-21 23:33:06","9"
"11","0","191","2016-05-04 07:02:16","1"
"12","126","1501","2024-11-03 22:03:54","6"
"13","113","563","2010-04-27 17:11:48","6"
"14","162","1254","2006-07-22 05:01:31","6"
"15","136","726","2002-05-12 09:51:55","9"
"16","47","842","1978-05-27 10:06:59","9"
"17","165","1472","1997-08-05 05:07:58","6"
"18","79","61","2013-11-17 03:41:48","9"
"19","136","304","1981-01-29 13:37:43","2"
"20","155","12","2021-08-13 07:17:31","8"
"21","17","1393","1976-03-18 06:01:01","2"
"22","114","1602","1972-07-09 09:50:08","2"
"23","148","1451","2020-06-29 15:27:10","7"
"24","118","1772","1990-05-06 06:15:30","10"
"25","159","455","1999-01-23 08:15:33","3"
"26","183","1284","1970-04-14 04:49:17","6"
"27","116","355","1975-01-27 11:06:06","7"
"28","143","294","1985-07-30 16:16:39","1"
"29","89","1143","2020-05-30 16:04:31","6"
"30","101","685","1997-01-08 18:45:49","2"
"31","52","37","1975-03-29 23:42:02","8"
"32","66","354","2006-05-20 07:05:36","5"
"33","9","1072","2003-03-30 14:13:45","6"
"34","171","12","1991-06-03 16:57:02","4"
"35","58","1082","2013-05-27 17:29:14","4"
"36","52","1303","1992-11-11 11:11:48","3"
"37","142","43","1998-03-12 21:11:20","1"
"38","141","1724","1974-09-05 15:53:34","1"
"39","26","237","1990-03-22 21:31:15","3"
"40","13","1947","2009-12-28 03:50:55","3"
"41","5","1409","1984-09-29 12:05:55","3"
"42","60","1602","2012-06-12 22:46:29","6"
"43","58","1428","2014-12-15 17:15:54","8"
"44","131","1523","1975-06-24 19:30:16","4"
"45","37","1516","2008-06-12 07:06:07","7"
"46","21","1998","2012-09-30 02:01:30","6"
"47","170","584","1981-09-08 00:05:46","5"
"48","152","1178","1977-10-17 15:34:52","9"
"49","176","1206","1978-06-24 01:26:20","6"
"50","107","649","1990-10-31 04:30:03","9"
"51","116","1569","2015-11-11 22:34:03","9"
"52","28","367","2002-03-23 08:10:11","1"
"53","3","825","2005-11-27 02:01:59","5"
"54","163","1325","2024-01-14 10:03:21","5"
"55","105","1445","2024-01-14 23:39:20","7"
"56","192","1419","1976-01-25 08:38:10","4"
"57","100","897","2002-06-16 17:01:43","7"
"58","199","806","1985-07-08 19:41:04","6"
"59","124","547","2010-07-18 22:44:35","9"
"60","173","1143","1997-08-28 08:54:46","9"
"61","7","1025","1985-01-16 20:23:25","8"
"62","191","272","2019-10-07 09:40:34","9"
"63","67","1692","2018-09-18 02:19:33","3"
"64","17","860","2000-11-18 05:58:51","6"
"65","74","124","2008-07-23 00:06:24","7"
"66","197","927","2011-07-18 04:25:57","3"
"67","183","166","2011-11-05 11:08:32","9"
"68","187","923","1989-07-28 10:45:19","9"
"69","7","822","2023-06-22 00:28:36","7"
"70","162","1012","1995-10-09 08:53:40","5"
"71","199","227","1974-02-24 15:42:55","6"
"72","109","668","1993-01-07 09:37:08","2"
"73","35","1884","1998-07-04 06:35:16","3"
"74","28","1276","2010-09-07 19:57:44","6"
"75","187","1696","2019-10-09 11:55:08","7"
"76","111","1964","2015-12-15 12:50:55","10"
"77","60","740","2006-04-30 02:27:45","1"
"78","80","859","2007-03-02 20:29:22","9"
"79","171","5","1990-09-20 17:51:09","4"
"80","121","1718","1995-08-06 03:56:45","7"
"81","153","805","2010-05-17 12:36:12","9"
"82","67","895","2010-07-29 07:05:29","2"
"83","0","1090","2014-07-11 01:50:50","1"
"84","58","7","2010-09-17 18:24:01","4"
"85","127","1564","2010-10-10 17:10:01","6"
"86","142","1805","1990-01-26 06:56:04","9"
"87","72","183","2023-06-09 22:43:02","10"
"88","61","1577","1970-03-22 11:17:46","5"
"89","26","1114","1987-10-09 03:49:48","1"
"90","139","1659","1983-05-18 17:18:23","8"
"91","92","1494","1992-07-01 11:30:36","3"
